Designator,Footprint,Quantity,Value,LCSC Part #,
0.1F1,0805,1,C2,,5
0.1F2,0805,1,C3,,5
1F1,0805,1,C1,,5
"C1, C2, C3, C4",0805,4,CL10A105KB8NNNC,,20
"C10, C11, C13, C7",0805,4,1µF,,20
"C12, C14, C15, C5, C8, C9",0805,6,0.1µF,,30
C6,0805,1,4.7µF,,5
IC1,SOT95P285X140-5N,1,AP2112K-1.8TRG1,,2
IC2,BGA100C100P10X17_1400X1800X140,1,MTFC16GAKAEDQ-AIT,,2
J1,CUI_UP31-CV-G-CM,1,UP31-CV-G-CM,,2
J2,Samtec_HPM-04-01-x-S_Straight_1x04_Pitch5.08mm,1,Conn_01x04,,2
L1,IND_LQH2MPN100MGRL,1,LQH2MPN100MGRL,,2
"R1, R2, R6, R7, R9",0402,5,47kΩ,,10
"R10, R11, R12",0402,3,10kΩ,,6
R13,0402,1,100Ω,,2
"R15, R16",0402,2,5.1kΩ,,4
"R3, R4",0402,2,100kΩ,,4
"R5, R8",0402,2,22Ω,,4
S1,SW_EVQ-P7A01P,1,EVQ-P7A01P,,2
U1,SOT95P285X140-5N (2),1,AP2112K-3.3TRG1,,2
U2,IC_TPD6E001RSER,1,TS3USB221RSERG4,,2
U3,IC_TPD4E05U06DQAR,1,TPD4E05U06DQAR,,2
U4,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2350A-QFN60,,2
U5,W-PDFN-8-1EP_6x5mm_P1.27mm_EP3x3mm,1,MT25QUxxxxxx1xW7,,2
